"Read Details","Leer detalles"
"Mark as Read","Marcar como leído"
"Are you sure?","¿Seguro que quiere continuar?"
"Remove","Eliminar"
"Messages Inbox","Bandeja de entrada"
"You have %1 new system messages","Tiene %1 nuevos mensajes del sistema"
"You have %1 new system message","Tiene %1 nuevos mensajes del sistema"
"Incoming Message","Mensaje entrante"
"close","cerrar"
"Notifications","Notificaciones"
"The message has been marked as Read.","El mensaje se ha marcado como leído."
"We couldn't mark the notification as Read because of an error.","No pudimos marcar la notificación como leída debido a un error."
"Please select messages.","Seleccione mensajes."
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) han sido marcado como leídos."
"Total of %1 record(s) have been removed.","El total de %1 de registro(s) han sido eliminados."
"We couldn't remove the messages because of an error.","No hemos podido eliminar los mensajes debido a un error."
"The message has been removed.","El mensaje ha sido eliminado."
"1 Hour","1 Hora"
"2 Hours","2 Horas"
"6 Hours","6 Horas"
"12 Hours","12 Horas"
"24 Hours","24 Horas"
"critical","crítico"
"major","principal"
"minor","menor"
"notice","aviso"
"Wrong message type","Tipo de mensaje incorrecto"
"Wrong notification ID specified.","ID de la notificación especificada es incorrecto."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","no se recomienda utilizar {{base_url}} en un entorno de producción para declarar la URL Base Insegura/Segura. Le recomendamos cambiar este valor en su <a href=""%1"">configuración</a> de Magento."
"One or more of the Cache Types are invalidated: %1. ","Uno o más de los tipos de memoria de caché son inválidos: %1 . "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, vaya a <a href=""%1"">Administración de la Cache</a> y actualice los tipos de memoria de caché."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No hemos podido sincronizar uno o más archivos multimedia. Por favor, consulte el archivo de registro para más detalles."
"Synchronization of media storages has been completed.","La sincronización de almacenamiento multimedia se ha completado."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Su servidor web no está configurado correctamente y permite el acceso no autorizado a archivos sensibles. Por favor, póngase en contacto con su proveedor de hosting."
"System Messages:","Mensajes del Sistema:"
"Critical System Messages","Mensajes Críticos del Sistema"
"Major System Messages","Mensajes principales del sistema"
"System messages","Mensajes del Sistema"
"Close","Cerrar"
"See All (","Ver todos ("
" unread)"," no leídos)"
"Show Toolbar","Mostrar Barra de Herramientas"
"Show List","Mostrar la Lista"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Update Frequency","Frecuencia de Actualización"
"Last Update","Última Actualización"
"Severity","Importancia"
"Date Added","Fecha de Creación"
"Message","Mensaje"
"Actions","Acciones"
"Close popup","Cerrar ventana emergente"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Ha visto y resuelto todos los avisos recientes del sistema. Por favor actualice la página web para borrar la notificación de alerta."
